epoch,num_episodes,total_reward,reward_per_epoch,mean_q
97,95,101005,1063.21052632,9.2963429182
98,87,87100,1001.14942529,9.23178820506
99,98,96965,989.43877551,9.3480495007
100,82,81890,998.658536585,9.26485863023
101,98,102715,1048.1122449,9.2796532879
102,108,94615,876.064814815,9.44897537354
103,81,97355,1201.91358025,9.15997357454
104,77,94375,1225.64935065,9.28239753503
105,87,104610,1202.4137931,9.06361104969
106,89,88740,997.078651685,9.19994550936
107,93,100825,1084.13978495,9.02462248091
108,98,100050,1020.91836735,9.04046317648
109,77,91230,1184.80519481,9.15113643005
110,100,96090,960.9,9.16838705018
111,100,94700,947.0,9.30021594934
112,87,97945,1125.8045977,9.2167040753
113,90,95680,1063.11111111,9.43264528994
114,94,102300,1088.29787234,9.23243744034
115,98,93565,954.744897959,9.18470606267
116,93,89205,959.193548387,9.13173706088
117,81,95365,1177.34567901,9.14999549124
118,110,65510,595.545454545,8.9900862357
119,94,93045,989.840425532,9.09421701923
120,102,88630,868.921568627,9.0594163283
121,85,92550,1088.82352941,9.06145234529
122,89,99575,1118.82022472,8.91931862257
123,90,89400,993.333333333,8.99748811182
124,97,98520,1015.67010309,8.99554629423
125,90,87715,974.611111111,9.10967691153
126,88,98875,1123.57954545,9.04464126084
127,103,95055,922.86407767,9.10383263476
128,102,96525,946.323529412,9.06239463937
129,87,92050,1058.04597701,9.11140174784
130,99,83580,844.242424242,9.01270708051
131,73,97145,1330.75342466,9.0188322933
132,88,96110,1092.15909091,9.26313818991
133,91,100110,1100.10989011,9.27888742685
134,130,88850,683.461538462,9.23727895197
135,95,97120,1022.31578947,9.46103708837
136,78,91835,1177.37179487,9.10178193729
137,129,71030,550.620155039,9.02498530205
138,103,84925,824.514563107,9.38888352904
139,104,93610,900.096153846,9.18243892562
140,112,101935,910.133928571,9.0417027941
141,104,95010,913.557692308,9.38916832481
142,95,97640,1027.78947368,9.39218150437
143,97,98335,1013.7628866,9.14063499855
144,96,97130,1011.77083333,9.05397232434
145,115,95745,832.565217391,9.37462589439
146,99,99575,1005.80808081,9.46235236
147,107,96020,897.38317757,9.60339360841
148,79,99830,1263.67088608,9.30536074946
149,91,99850,1097.25274725,9.11379495366
150,92,97170,1056.19565217,9.20659774354
151,107,98260,918.317757009,9.27767263785
152,94,99090,1054.14893617,9.15677273061
153,97,92835,957.06185567,9.04160960602
154,99,96900,978.787878788,9.05769417318
155,107,101140,945.23364486,8.84873360088
156,96,86455,900.572916667,8.77845300124
